//Traducido por  xnadal 
// Archivo de definiciones de cadenas de Radius Manager
//
// Debe haber un car√°cter TAB entre el token y las cadenas
//

// Enlaces

href_traffireport 	 	informe de trafico
href_trafrepdly 			informe de trafico diario
href_addcredits 			anadir creditos
href_addmoney 			anadir deposito
href_postpaidbilling 		facturacion pospago
href_listinvoices 		lista de facturas
href_chgsrv 			cambio de plan de servicio
href_listsrvhistory 		historial del plan de servicio
href_deluser 			eliminar
href_listpostauth			registro de autenticacion
href_disconnuser			desconectar
href_listconn			informe de conexion
href_cancel				cancelar
href_register_acc 		Registrar una cuenta
href_verify_acc			Verificar cuenta
href_edit 				Editar
href_selfdisconn			Haga clic aqui para desconectarse y volver al modo completo
href_sendmail 			correo electronico
href_sendsms 			SMS

// cadenas

str_cardser				Serie de cartas
str_unpaidinv 			Factura no pagada encontrada
str_unpaidgraceinv 		Periodo de gracia vencido
str_availcolumns 			Columnas disponibles
str_selectall 			seleccionar todo
str_selectnone 			deseleccionar todo
str_pooltype_docsis 		DOCSIS
str_pooltype_radius		RADIO
str_none				Ninguno
str_view 				Ver e imprimir factura
str_ref				Ref. .
str_unreg_user			No registrado
str_auto_renew			Renovacion automatica
str_regdisabled			El registro automatico esta deshabilitado
str_emailsubjexpiry		Alerta de caducidad de cuenta
str_emailsubjrenewed		Su cuenta ha sido renovada
str_emailsubjcantrenew		Problema al renovar su cuenta
str_emailsubjsrvchg		Nuevo plan de servicio activado
str_emailsubjwelcome		Bienvenido nuevo usuario
str_emailsubjselfreg		Nueva cuenta auto registrada
str_emailsubjiasreg		Nueva cuenta IAS
str_emailsubjactpsw		Activa tu nueva contrasena
str_emailsubjnewpsw		Nueva contrasena activada
str_emailsubjactacc		Activa tu nueva cuenta
str_emailsubjdepositadd		Saldo aumentado
str_yymmdd				AAAA-MM-DD
str_yymmddhhmmss			AAAA-MM-DD HH:MM:SS
str_resetctr			°ADVERTENCIA!<br><br>°Los creditos actuales se perderan al cambiar el plan de servicio!
str_finished			terminado
str_completed			completado
str_cancelled			cancelado
str_paymode_cash			C
str_paymode_transfer			T
str_paymode_internal			I
str_paymode_card				P
str_paymode_online			O
str_moneyadd				Anadir dinero
str_addmode					Modo de credito adicional activo
str_monthly_srv				Plan de servicio mensual
str_fillupman_srv				Deposito
str_fillupcard_srv			Recarga de tarjeta
str_system					sistema
str_na					n/a
str_notavail				No disponible
str_dynamic					dinamico
str_hide					-
str_datarate				kbps
str_unlimited				ilimitado
str_next_page				>>
str_prev_page				<<
str_first_page				primero
str_last_page				ultima
str_no_limit				sin limite
str_never_expires				nunca
str_default_fullname			Nombre de usuario desconocido
str_acc_disabled				deshabilitado
str_acc_expired				caducado
str_acc_notverified			No verificado
str_acc_active				activo
str_acc_limit				<-limite
str_yes					si
str_no					no
str_any					cualquiera
str_all					todo
str_all_postpaid				Todos los planes de servicio pospago
str_never_seen				nunca
str_online					en linea
str_offline					sin conexion
str_unregged				prepago clasico
str_regged					recarga
str_acctype_regular			regular
str_acctype_maconly			cuenta MAC
str_acctype_carduser			tarjeta prepago
